"gender","dept_name","avg_salary"
"F","Production","61861"
"M","Quality Management","61990"
"F","Development","61964"
"F","Finance","67421"
"F","Quality Management","60697"
"F","Marketing","67554"
"M","Research","62900"
"M","Human Resources","60190"
"F","Human Resources","59868"
"M","Sales","72609"
"M","Finance","67982"
"M","Development","62924"
"F","Sales","71277"
"F","Customer Service","62344"
"M","Production","62979"
"M","Customer Service","62958"
"F","Research","61796"
"M","Marketing","68694"
